Name,Category,Subcategory,Categories,Description,Long Description,Tags,Owner Name,Address,Phone,Email,Website,Message Link,Image URL,Featured,Hours,Hours Location Name,Specials,Specials Image URL,Profile Enabled,Owner Email,License Number,Facebook,Instagram,TikTok,YouTube,LinkedIn,Twitter,Pinterest,Additional Locations,Business ID
High Desert Blinds,home-services,Window Treatments,,Window blinds and coverings,,,,,,,,,,No,,,,,No,,,,,,,,,,[],6a3c8981fc8d09ae88bad4cf
WorkSource Redmond,professionals,Employment Services,,Helping people find jobs and businesses find talent.,,,,,,,,,,No,,,,,No,,,,,,,,,,[],6a3c8981fc8d09ae88bad4d0
Century West Engineering Corporation,professionals,Engineering,,Aviation and municipal engineering and planning consultant,,,,,,,,,,No,,,,,No,,,,,,,,,,[],6a3c8981fc8d09ae88bad4d1
Temp-Rite Mechanical LLC,home-services,HVAC,,Mechanical and HVAC contractor,,,,,,,,,,No,,,,,No,,,,,,,,,,[],6a3c8981fc8d09ae88bad4d2
FR Detailing,automotive,Detailing,,Professional Mobile Detailing Serving Central Oregon. We Come To You.,,,,,,,,,,No,,,,,No,,,,,,,,,,[],6a3c8981fc8d09ae88bad4d6
Alpenglow Films,professionals,Video Production,,Video producer & DP; experience leading teams & working with gov't agencies,,,,,,,,,,No,,,,,No,,,,,,,,,,[],6a3c8981fc8d09ae88bad4d7
Redmond Community Concert Association,entertainment,,,Presenting quality live entertainment to Central Oregon audiences.,,,,,,,,,,No,,,,,No,,,,,,,,,,[],6a3c8981fc8d09ae88bad4d8
Foreman's Auto,automotive,Repair,,"Family-owned auto repair shop in Redmond, Oregon offering a range of services from routine maintenance to complex repairs. Established in 2020.",,Auto Repair; Family Owned; Locally Owned; Redmond Oregon,,"2300 S Hwy 97, Redmond, OR 97756",(541) 530-2854,,https://www.foremansautoor.com/,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/e9c48af5a_ForemansAuto.jpg,No,Mon - Fri 8am - 5pm,,,,Yes,,,https://www.facebook.com/foremansautollc/,,,,,,,[],6a387aa17b5506f71e51518e
Funkewerks,automotive,Repair,,Complete vehicle service on all Asian and European manufacturers. BMW Master Certified with 20 years of experience. Toyota Expert Certified. Over 35 years of experience from sport luxury to rugged off-road.,,Auto Repair; BMW Certified; Toyota Certified; Asian Import Repair; European Import Repair; Locally Owned; Redmond Oregon,,"1552 S Highway 97, Redmond, OR 97756",(541) 923-3116,funkewerks@gmail.com,https://www.funkewerks.com/,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/fdf1d5fd6_ScreenShot2026-06-21at171948PM.png,No,Mon - Fri 8am - 5pm,,,,Yes,,,,,,,,,,[],6a387aa17b5506f71e515198
Dale the Mobile Mechanic LLC,automotive,Mobile Mechanic,,"Mobile auto repair service covering Central Oregon including Redmond, Sisters, Prineville, LaPine/Sunriver, and Bend. Services cars, trucks, tractors, RVs, boats, trailers, and motorcycles. 24/7 service available. Financing available. Military and senior discounts.",,Mobile Mechanic; Auto Repair; 24/7 Service; RV Repair; Boat Repair; Diesel Repair; Financing Available; Military Discount; Senior Discount; Central Oregon; Redmond Oregon,,"1097 NE 11th St, Redmond, OR 97756",(541) 598-6461,dalesmobile@hotmail.com,https://dalethemobilemechanic.com/,,https://dalethemobilemechanic.com/wp-content/uploads/2018/05/Title-Home-yel-blu-1.jpg,No,Mon - Thu 8am - 4:30pm (24/7 mobile service),,,,Yes,,,https://www.facebook.com/dalethemobilemechanic/,https://www.instagram.com/dalethemobilemechanic/,,,,,,[],6a387aa17b5506f71e515195
"Redmond Automotive Care Experts, LLC",automotive,Repair,,"Professional automotive repair specialists focusing on larger vehicles and fleet service in Redmond, Oregon.",,Auto Repair; Locally Owned; Redmond Oregon; Central Oregon,,"2121 SW Deerhound Ave Ste 111, Redmond, OR 97756",(458) 899-5425,,,,,No,,,,,Yes,,,https://www.facebook.com/p/Redmond-Automotive-Care-Experts-LLC-61565852691206/,,,,,,,[],6a387aa17b5506f71e51518d
Bryan's Automotive Unlimited,automotive,Repair,,"Full-service auto repair and maintenance for domestic and foreign vehicles, light trucks, RVs, boats, and small engines. ASE Certified Master Technician with over 30 years of experience. Serving Central Oregon since 2004.",,Auto Repair; ASE Certified; RV Repair; Boat Repair; Small Engine Repair; Diagnostics; Brake Repair; Transmission; Air Conditioning; Locally Owned; Redmond Oregon; Central Oregon,,"321 SE Black Butte Blvd, Redmond, OR 97756",(541) 548-0436,,https://www.bryansautomotiveunlimited.com/,,,No,Mon - Fri 8am - 5pm,,,,Yes,,,https://facebook.com/people/Bryans-Automotive-Unlimited/100057301548397/,,,,,,,[],6a387aa17b5506f71e51519a
Robirts Auto Care,automotive,Repair,,"Reliable auto repair shop specializing in fuel injection, computer control, and air conditioning. NAPA AutoCare facility in Redmond, Oregon.",,Auto Repair; Fuel Injection; Air Conditioning; NAPA AutoCare; Locally Owned; Redmond Oregon,,"2241 SW 1st St Ste F, Redmond, OR 97756",(541) 526-1717,service@robirts.com,https://robirtsautocareexperts.com/,,,No,,,,,Yes,,,https://www.facebook.com/RobirtsAutoCareExpertsLLC/,,,,,,,[],6a387aa17b5506f71e515194
Car Guy,automotive,Repair,,"Auto repair and maintenance services in Redmond, Oregon.",,Auto Repair; Redmond Oregon,,"214 SE Railroad Blvd, Redmond, OR 97756",(541) 923-8047,,,,,No,,,,,Yes,,,,,,,,,,[],6a387aa17b5506f71e515197
Reid's Mobile Mechanic Service,automotive,Mobile Mechanic,,"Mobile mechanic service serving the Bend and Central Oregon area. Professional diagnostics, maintenance, and repair services directly at your location.",,Mobile Mechanic; Auto Repair; Central Oregon; Bend Oregon,,"Bend, OR",(541) 241-0463,Reid@bendmobilemechanic.com,https://www.bendmobilemechanic.com/,,https://images.squarespace-cdn.com/content/v1/68ed5e69dd62082f691d400a/385997f4-b140-4ef5-9d1f-ac3afe983534/Logo.jpeg,No,,,,,Yes,,,,,,,,,,[],6a387aa17b5506f71e515199
Marshalls Automotive,automotive,Repair,,"Auto repair and maintenance for most domestic and import vehicles. Serving Redmond since 1984. ASE certified, NAPA AutoCare. Pre-purchase inspections available by appointment.",,Auto Repair; ASE Certified; NAPA AutoCare; Pre-Purchase Inspections; Locally Owned; Redmond Oregon; Central Oregon,,"2110 S Hwy 97, Redmond, OR 97756",(541) 548-5239,,https://marshallsautomotive.com/,,,No,Mon - Fri 8am - 5pm,,,,Yes,,,,,,,,,,[],6a387aa17b5506f71e515196
Redmond Auto Service Tire Pros,automotive,Tires,,Locally owned and operated auto repair and tire shop. Part of the Tire Pros network with nationwide warranties. ASE and AAA certified. Asian import repair specialists.,,Tires; Auto Repair; ASE Certified; AAA Approved; Locally Owned; Redmond Oregon; Asian Import Repair,,"426 NW 6th St, Redmond, OR 97756",(541) 548-2696,shop@redmondautoservice.com,https://www.redmondautoservice.com/,,,No,Mon - Fri 7am - 6pm,,,,Yes,,,,,,,,,,[],6a387aa17b5506f71e51518f
Auto Experts LLC,automotive,Repair,,"Comprehensive auto repair and tire services for both domestic and foreign vehicles. NAPA AutoCare Center in Redmond, Oregon.",,Auto Repair; Tires; NAPA AutoCare; Locally Owned; Redmond Oregon,,"511 SW Veterans Way, Redmond, OR 97756",(541) 526-1733,,https://autoexpertsredmond.com/,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/987084444_AutoExperts.webp,No,,,,,Yes,,,https://www.facebook.com/AutoExpertsLLCofRedmond/,,,,,,,[],6a387aa17b5506f71e515191
Advanced Auto Repair LLC,automotive,Repair,,"Full-service auto repair shop offering brakes, transmission, engines, tune-ups, scheduled maintenance, oil changes, diagnostics, suspension, and diesel repair.",,Auto Repair; Diesel Repair; Brakes; Transmission; Diagnostics; Redmond Oregon,,"494 SW Veterans Way Ste 4, Redmond, OR 97756",(541) 923-2886,,https://advanced-auto-repair.net/,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/f26fa7845_AdvancedAutoRepair.webp,No,,,,,Yes,,,https://www.facebook.com/1389720904642246/,,,,,,,[],6a387aa17b5506f71e515192
Earp's Auto Repair,automotive,Repair,,"Family owned and locally operated auto repair and service center since 1962. ASE certified, NAPA Care Center. 12-month/12,000-mile warranty. Free estimates available on all services.",,Auto Repair; ASE Certified; NAPA AutoCare; Family Owned; Locally Owned; Free Estimates; Redmond Oregon,,"340 NW Dogwood Ave, Redmond, OR 97756",(541) 548-4522,,http://www.earpsautorepairs.com/,,https://le-cdn.hibuwebsites.com/7507d9159236458dab9304aeb255248d/dms3rep/multi/opt/14467317_227x125-1920w.png,No,Mon - Fri 8am - 5pm,,,,Yes,,,https://facebook.com/Earps-Auto-Repair-LLC-214129505686201/,,,,,,,[],6a387aa17b5506f71e515193
Oscar's Auto Repair & Towing,automotive,Towing,,"Comprehensive auto repair services including diagnostics, engine and transmission repairs, brake services, and towing. ASE certified. Serving all Central Oregon.",,Auto Repair; Towing; ASE Certified; Locally Owned; Redmond Oregon; Central Oregon,,"821 SW 11th St, Redmond, OR 97756",(541) 923-3554,,,,,No,,,,,Yes,,,,https://www.instagram.com/oscars_auto/,,,,,,[],6a387aa17b5506f71e515190
Imaginary Rebel Art Studio,entertainment,Paint Parties,entertainment; education,"Step-by-step paint parties, painting tutorials, and online art membership. Join a guided paint party at SCP Hotel Redmond or learn from home with online tutorials.","At Imaginary Rebel Art Studio LLC, we provide step by step painting tutorials and online art membership. Our mission is to help people discover their inner artist and create beautiful art pieces. Our team of experienced artists is passionate about sharing their knowledge and skills with art enthusiasts from all over the world.

We believe that art has the power to transform lives and bring people together. That's why we have created a community of like-minded individuals who share our love for art. As a member of our online art membership, you'll get access to exclusive tutorials, live streams, and a supportive community of artists. We offer a wide range of painting tutorials for all skill levels, from beginner to advanced.

Join us today and unleash your creativity!",Art Studio; Paint Parties; Art Classes; Creative Workshops; Family Friendly; Kids & Youth; Adult Lessons; Beginner Friendly; Private Events; Birthday Parties; Group Events; Locally Owned; Downtown Redmond; Sip & Paint; Canvas Painting; Guided Instruction; All Materials Provided; Walk-In Welcome; Reservations Accepted; Team Building,,"SCP Hotel Downtown Redmond, Redmond, OR 97756",949-677-3510,imaginaryrebelartstudio@gmail.com,https://www.imaginaryrebelpaintparties.com/,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/9cafbd485_ImaginaryRebelArtStudio.jpg,No,By appointment - check website for upcoming paint party dates,,,,Yes,,,https://www.facebook.com/ImaginaryRebelsArtStudio,,,https://www.youtube.com/channel/UCGKwP3oFL_CfcjcaDXivZxQ,,,,[],6a381e3bd30e46405ad90476
Pangaea Guild Hall,entertainment,Tabletop Gaming,entertainment; food-drink; bars-breweries,"Tabletop game haven, cafe & cocktail bar in downtown Redmond. Serving breakfast, lunch, and dinner with craft cocktails and Thump espresso.","Blending craft cocktails and high quality Thump espresso with the joy of tabletop games, Pangaea Guild Hall is a quiet haven for everyone to relax and feel at home. Serving breakfast, lunch, and dinner with a rotating selection of freshly baked goods and desserts, Pangaea is the perfect stop for a morning coffee, an evening cocktail, and everything in between. Whether you just need a quick coffee and a bite to eat, or are planning to stay and play in one of our private game rooms, the Guild Hall's doors are open.",Tabletop Games; Board Games; Card Games; RPG; Dungeons & Dragons; Private Game Rooms; Game Haven; Cafe; Cocktail Bar; Coffee & Tea; Thump Espresso; Waffles; Fresh Baked Goods; Breakfast; Lunch; Dinner; Cocktails; Private Events; Family Friendly; Locally Owned; Redmond Oregon; Central Oregon; Downtown Redmond,,"652 SW 6th St, Redmond, OR 97756",(541) 526-7641,,https://www.pangaeaguildhall.com/,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/3496081b6_PangaeaGuildHall.jpg,No,Tues-Thurs: 9am-10pm | Fri-Sat: 9am-11pm | Sun: 9am-10pm | Closed Monday | Cocktail Bar opens 11am,,,,Yes,,,https://www.facebook.com/pangaeaguildhall,https://www.instagram.com/pangaeaguildhall,,,,,,[],6a381b89373f46de1cd93f93
Madaline's Grill & Steak House,food-drink,Restaurants,food-drink; bars-breweries,"Mexican and American bistro serving hand-cut steaks, fresh seafood, sizzling fajitas, and margaritas in Redmond, Oregon.","Madaline's Grill & Steak House brings together bold Mexican classics, hand-cut steaks, fresh seafood, and generous portions in one Redmond restaurant. Whether you're stopping in for lunch, planning dinner, or meeting friends for margaritas, there's something on the menu for everyone.

From sizzling fajitas and fresh tacos to enchiladas, seafood plates, and house-made salsas, the kitchen serves bold, made-fresh favorites every day. The $20 Lunch & Dinner Menu features steak, seafood, and signature entrées like Quesabirria Beef Ravioli, Stuffed Salmon, Stuffed Sole, USDA Choice T-Bone Steak, Top Sirloin, and Coulotte Steak.

Voted Best Lunch in Central Oregon 2025 by The Source Weekly. Open daily for dine-in and takeout.",Mexican; Steakhouse; Seafood; Fajitas; Margaritas; Full Bar; Lunch Specials; Family Dining; Takeout; Dine-in; Ceviche; Tacos; Burritos; Enchiladas; Hand-cut Steaks; Ribs; Central Oregon; Highway 97; Best Lunch 2025; Locally Owned; American Grill; Southwestern,,"2414 S Hwy 97, Redmond, OR 97756",(541) 548-9964,,https://madalinesgrill.com/,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/8ff3b0e57_Madelines.png,No,Open Daily 11:00 AM - 10:00 PM,,,,Yes,,,,,,,,,,[],6a380a889711bbc3333165cd
The Back Porch and Company,shopping,Boutiques,,"Established in 2010, The Back Porch and Company is Redmond's favorite antique and home goods store, offering a curated collection of antiques, collectibles, embellishments, vintage furniture, home decor, candles, gifts, and handcrafted goods.",,Antiques; Collectibles; Home Decor; Vintage; Furniture; Candles; Gifts; Apparel; Handcrafted Goods; Cottage Core; Embellishments; Vintage Furniture; Repurposed Goods; Locally Owned; Boutiques; Specialty Shops; Christmas Decor; Booth Rentals,,"2127 S Hwy 97, Ste 130, Redmond, OR 97756",541-526-1161,,https://thebackporchandcompany.com,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/6d4a78a27_the-back-porch-and-company-logo-2-160x160.png,No,Wednesday-Saturday 11:00 AM - 5:00 PM,,,,Yes,,,https://www.facebook.com/TheBackPorchandCompany,https://www.instagram.com/thebackporch5,,,,,,[],6a38076c380cf179f607fe03
Juniper Blu,shopping,Boutiques,,"A curated home and gift shop offering a unique variety of home decor, body care, baby items, gourmet food, and gifts — your own little general store.",,Home Decor; Gifts; Body Care; Bath & Body; Baby Items; Gourmet Food; Specialty Foods; Local Honey; Wall Arrows & Hangings; Boutiques; Gift Sets; Women-Owned; Locally Owned; Curated Goods; General Store,,,,,https://juniper-blu.com,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/392936654_JuniperBlu.jpg,No,,,,,Yes,,,https://www.facebook.com/juniperbluhome,,,,,,,[],6a375df7a8d324a40ab4d388
Wilson's of Redmond,shopping,Specialty Shops,,"Family-owned furniture and mattress store serving Central Oregon since 1962. Offering the largest selection of furniture and mattresses in the region, including living room, bedroom, dining, office, and mattresses from brands like Accord Comfort and Copperrest.",,Furniture Store; Mattresses; Bedroom Furniture; Living Room Furniture; Dining Furniture; Office Furniture; Locally Owned; Since 1962; Family Owned; Central Oregon; Accord Comfort; Copperrest; Discount Furniture; Home Furnishings; Redmond Oregon; Mattress Gallery; Keepin' It Local,,"2071 S Hwy 97, Redmond, OR 97756",(541) 548-2066,,https://www.wilsonsmattressgallery.com/,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/c11f8f95c_WilsonsofRedmond.png,No,Mon-Sat 10 AM - 6 PM,,,,Yes,,,https://www.facebook.com/profile.php?id=61559038804516,,,,,,,[],6a375b33e107f11c06233777
Every Bloom'n Thing,shopping,Specialty Shops,,"Local Redmond florist offering custom floral arrangements, bouquets, and flower delivery for all occasions.",,Florist; Flower Delivery; Custom Bouquets; Fresh Flowers; Locally Owned; Best Seller; Specialty Shops; Redmond Oregon; Gifts; Wedding Flowers; Sympathy Arrangements; Holiday Arrangements; Balloon Bunches,,"251 SW 6th St, Redmond, OR 97756",(541) 504-9777,everybloomnthingredmond@gmail.com,https://everybloomnthing.com/,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/d288ec844_EveryBloominThing.jpg,No,"Mon-Fri 10 AM - 4 PM, Weekends Closed",,,,Yes,,,,,,,,,,[],6a36f1f619bd54aef1a5305a
Testimony Wine Bar,bars-breweries,Wine Bars,,A bottle shop and wine bar specializing in smaller winemakers from OR and WA. Weekly events to enjoy.,,Wine Bar; Bottle Shop; Oregon Wine; Washington Wine; Small Winemakers; Wine Tasting; Weekly Events; Redmond Oregon; Locally Owned; Date Night; Live Music; Small Bites; Wine by the Glass; Craft Wine; Central Oregon,,"307 NW 6th St., Redmond, OR 97756",541-526-7979,testimonywine@gmail.com,https://testimonywinebar.com,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/20501c9d2_ChatGPTImageJun19202605_56_35PM.png,Yes,Mon 2pm - 8pm  |  Tues CLOSED  |  Wed - Thurs 2pm - 8pm  |  Fri 12pm - 9pm  |  Sat 12pm - 6pm,,,,Yes,,,https://www.facebook.com/testimonywinebar,@testimony_winebar,,,,,,[],6a35e20457e944f011433d43
